EP, 13, 2014082506,   , BEST,   0, 169N, 1134W, 130,  927, HU,  64, NEQ,   50,   50,   30,   40, 1009,  380,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082512,   , BEST,   0, 175N, 1143W, 125,  932, HU,  34, NEQ,  250,  270,  150,  150, 1006,  350,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082512,   , BEST,   0, 175N, 1143W, 125,  932, HU,  50, NEQ,   90,  100,   70,   90, 1006,  350,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082512,   , BEST,   0, 175N, 1143W, 125,  932, HU,  64, NEQ,   50,   50,   30,   40, 1006,  350,  15, 150,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082518,   , BEST,   0, 181N, 1153W, 115,  939, HU,  34, NEQ,  240,  270,  160,  160, 1007,  300,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082518,   , BEST,   0, 181N, 1153W, 115,  939, HU,  50, NEQ,  100,  120,   70,   90, 1007,  300,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082518,   , BEST,   0, 181N, 1153W, 115,  939, HU,  64, NEQ,   50,   40,   30,   40, 1007,  300,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  390,  300,  330, 
EP, 13, 2014082600,   , BEST,   0, 188N, 1162W, 100,  952, HU,  34, NEQ,  240,  270,  160,  160, 1007,  330,  15, 120,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  420,  330,  360, 
EP, 13, 2014082600,   , BEST,   0, 188N, 1162W, 100,  952, HU,  50, NEQ,  100,  120,   70,   90, 1007,  330,  15, 120,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  420,  330,  360, 
EP, 13, 2014082600,   , BEST,   0, 188N, 1162W, 100,  952, HU,  64, NEQ,   50,   40,   30,   40, 1007,  330,  15, 120,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  420,  330,  360, 
EP, 13, 2014082606,   , BEST,   0, 196N, 1172W,  90,  961, HU,  34, NEQ,  240,  240,  160,  170, 1007,  330,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  480,  330,  390, 
EP, 13, 2014082606,   , BEST,   0, 196N, 1172W,  90,  961, HU,  50, NEQ,  100,  100,   80,   80, 1007,  330,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  480,  330,  390, 
EP, 13, 2014082606,   , BEST,   0, 196N, 1172W,  90,  961, HU,  64, NEQ,   50,   40,   30,   40, 1007,  330,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  480,  330,  390, 
EP, 13, 2014082612,   , BEST,   0, 204N, 1184W,  85,  965, HU,  34, NEQ,  240,  240,  160,  170, 1007,  330,  15, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  480,  330,  440, 
EP, 13, 2014082612,   , BEST,   0, 204N, 1184W,  85,  965, HU,  50, NEQ,  100,  100,   80,   80, 1007,  330,  15, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  480,  330,  440, 
EP, 13, 2014082612,   , BEST,   0, 204N, 1184W,  85,  965, HU,  64, NEQ,   50,   40,   30,   40, 1007,  330,  15, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  480,  330,  440, 
EP, 13, 2014082618,   , BEST,   0, 209N, 1196W,  85,  968, HU,  34, NEQ,  200,  180,  120,  160, 1007,  330,  20, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  450,  300,  410, 
EP, 13, 2014082618,   , BEST,   0, 209N, 1196W,  85,  968, HU,  50, NEQ,  100,   80,   60,   70, 1007,  330,  20, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  450,  300,  410, 
EP, 13, 2014082618,   , BEST,   0, 209N, 1196W,  85,  968, HU,  64, NEQ,   40,   30,   15,   40, 1007,  330,  20, 105,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  440,  450,  300,  410, 
EP, 13, 2014082700,   , BEST,   0, 212N, 1208W,  80,  971, HU,  34, NEQ,  200,  180,  120,  160, 1006,  300,  20, 100,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  600,  360,  450, 
EP, 13, 2014082700,   , BEST,   0, 212N, 1208W,  80,  971, HU,  50, NEQ,  100,   80,   60,   70, 1006,  300,  20, 100,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  600,  360,  450, 
EP, 13, 2014082700,   , BEST,   0, 212N, 1208W,  80,  971, HU,  64, NEQ,   40,   30,   15,   40, 1006,  300,  20, 100,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  600,  360,  450, 
EP, 13, 2014082706,   , BEST,   0, 216N, 1220W,  75,  974, HU,  34, NEQ,  200,  170,  120,  160, 1006,  300,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  500,  270,  480, 
EP, 13, 2014082706,   , BEST,   0, 216N, 1220W,  75,  974, HU,  50, NEQ,   90,   80,   60,   70, 1006,  300,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  500,  270,  480, 
EP, 13, 2014082706,   , BEST,   0, 216N, 1220W,  75,  974, HU,  64, NEQ,   50,   30,   15,   40, 1006,  300,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  500,  270,  480, 
EP, 13, 2014082712,   , BEST,   0, 221N, 1232W,  65,  980, HU,  34, NEQ,  180,  160,  100,  160, 1008,  350,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  430,  150,  530, 
EP, 13, 2014082712,   , BEST,   0, 221N, 1232W,  65,  980, HU,  50, NEQ,   90,   80,   60,   70, 1008,  350,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  430,  150,  530, 
EP, 13, 2014082712,   , BEST,   0, 221N, 1232W,  65,  980, HU,  64, NEQ,   50,   30,    0,   30, 1008,  350,  20,  80,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  540,  430,  150,  530, 
EP, 13, 2014082718,   , BEST,   0, 227N, 1244W,  55,  989, TS,  34, NEQ,  160,  150,   80,  140, 1010,  350,  25,  65,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  510,  420,  180,  500, 
EP, 13, 2014082718,   , BEST,   0, 227N, 1244W,  55,  989, TS,  50, NEQ,   60,   60,    0,   50, 1010,  350,  25,  65,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  510,  420,  180,  500, 
EP, 13, 2014082800,   , BEST,   0, 234N, 1258W,  50,  992, TS,  34, NEQ,  160,  150,   80,  140, 1008,  320,  40,  60,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  510,  420,  180,  500, 
EP, 13, 2014082800,   , BEST,   0, 234N, 1258W,  50,  992, TS,  50, NEQ,   50,    0,    0,    0, 1008,  320,  40,  60,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  510,  420,  180,  500, 
EP, 13, 2014082806,   , BEST,   0, 241N, 1272W,  45,  995, TS,  34, NEQ,  160,  120,   60,  150, 1008,  300,  40,  55,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  510,  330,  240,  480, 
EP, 13, 2014082812,   , BEST,   0, 248N, 1285W,  40,  997, TS,  34, NEQ,  120,   80,   40,  120, 1008,  270,  40,  50,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  400,  240,  180,  400, 
EP, 13, 2014082818,   , BEST,   0, 256N, 1298W,  35, 1000, LO,  34, NEQ,  100,    0,    0,  100, 1008,  270,  40,  45,   0,   E,   0,    ,   0,   0,      MARIE, M, 12, NEQ,  360,  240,  180,  390, 
EP, 13, 2014082900,   , BEST,   0, 265N, 1310W,  35, 1002, LO,  34, NEQ,   80,    0,    0,   80, 1010,  270,  60,  45,   0,   E,   0,    ,   0,   0,      MARIE, M, 
EP, 13, 2014082906,   , BEST,   0, 273N, 1321W,  35, 1002, LO,  34, NEQ,   80,    0,    0,   80, 1010,  270,  80,  45,   0,   E,   0,    ,   0,   0,      MARIE, M, 
EP, 13, 2014082912,   , BEST,   0, 282N, 1328W,  30, 1002, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014082918,   , BEST,   0, 291N, 1333W,  30, 1003, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083000,   , BEST,   0, 298N, 1337W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083006,   , BEST,   0, 305N, 1341W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083012,   , BEST,   0, 310N, 1345W,  25, 1005, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083018,   , BEST,   0, 313N, 1351W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083100,   , BEST,   0, 314N, 1359W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083106,   , BEST,   0, 314N, 1366W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083112,   , BEST,   0, 314N, 1371W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014083118,   , BEST,   0, 314N, 1375W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090100,   , BEST,   0, 314N, 1379W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090106,   , BEST,   0, 314N, 1383W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090112,   , BEST,   0, 313N, 1388W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090118,   , BEST,   0, 310N, 1393W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090200,   , BEST,   0, 308N, 1397W,  25, 1011, LO,   0,    ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
EP, 13, 2014090206,   , BEST,   0, 306N, 1401W,  25, 1012, LO,  34, NEQ,    0,    0,    0,    0, 1010,  270,  80,   0,   0, 
