EP, 05, 2023080706,   , BEST,   0, 126N, 1452W, 120,  948, HU,  64, NEQ,   20,   10,   10,   20, 1010,  110,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  180,   90,   45,  120, 
EP, 05, 2023080712,   , BEST,   0, 124N, 1473W, 115,  953, HU,  34, NEQ,   80,   40,   40,   80, 1009,  120,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080712,   , BEST,   0, 124N, 1473W, 115,  953, HU,  50, NEQ,   30,   20,   20,   30, 1009,  120,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080712,   , BEST,   0, 124N, 1473W, 115,  953, HU,  64, NEQ,   20,   10,   10,   20, 1009,  120,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080718,   , BEST,   0, 123N, 1493W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080718,   , BEST,   0, 123N, 1493W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080718,   , BEST,   0, 123N, 1493W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  225, 
EP, 05, 2023080800,   , BEST,   0, 121N, 1513W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080800,   , BEST,   0, 121N, 1513W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080800,   , BEST,   0, 121N, 1513W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080806,   , BEST,   0, 118N, 1533W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080806,   , BEST,   0, 118N, 1533W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080806,   , BEST,   0, 118N, 1533W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1010,  120,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  450,  150,   75,  390, 
EP, 05, 2023080812,   , BEST,   0, 115N, 1552W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1010,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  525,  150,   80,  425, 
EP, 05, 2023080812,   , BEST,   0, 115N, 1552W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1010,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  525,  150,   80,  425, 
EP, 05, 2023080812,   , BEST,   0, 115N, 1552W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1010,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  525,  150,   80,  425, 
EP, 05, 2023080818,   , BEST,   0, 115N, 1571W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1011,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  650,  150,   80,  425, 
EP, 05, 2023080818,   , BEST,   0, 115N, 1571W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1011,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  650,  150,   80,  425, 
EP, 05, 2023080818,   , BEST,   0, 115N, 1571W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1011,  110,  15, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  650,  150,   80,  425, 
EP, 05, 2023080900,   , BEST,   0, 114N, 1592W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  150,  150,  480, 
EP, 05, 2023080900,   , BEST,   0, 114N, 1592W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  150,  150,  480, 
EP, 05, 2023080900,   , BEST,   0, 114N, 1592W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  150,  150,  480, 
EP, 05, 2023080906,   , BEST,   0, 114N, 1612W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080906,   , BEST,   0, 114N, 1612W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080906,   , BEST,   0, 114N, 1612W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1009,   70,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080912,   , BEST,   0, 114N, 1631W, 115,  953, HU,  34, NEQ,  100,   50,   50,  100, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080912,   , BEST,   0, 114N, 1631W, 115,  953, HU,  50, NEQ,   50,   30,   30,   50, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080912,   , BEST,   0, 114N, 1631W, 115,  953, HU,  64, NEQ,   25,   15,   15,   25, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080918,   , BEST,   0, 115N, 1651W, 120,  950, HU,  34, NEQ,  100,   50,   50,  100, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080918,   , BEST,   0, 115N, 1651W, 120,  950, HU,  50, NEQ,   50,   30,   30,   50, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023080918,   , BEST,   0, 115N, 1651W, 120,  950, HU,  64, NEQ,   25,   15,   15,   25, 1009,   80,  10, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081000,   , BEST,   0, 116N, 1669W, 125,  946, HU,  34, NEQ,  100,   50,   50,  100, 1009,   80,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081000,   , BEST,   0, 116N, 1669W, 125,  946, HU,  50, NEQ,   50,   30,   30,   50, 1009,   80,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081000,   , BEST,   0, 116N, 1669W, 125,  946, HU,  64, NEQ,   30,   20,   20,   30, 1009,   80,  10, 150,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081006,   , BEST,   0, 119N, 1689W, 120,  950, HU,  34, NEQ,  100,   50,   50,  100, 1011,   75,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081006,   , BEST,   0, 119N, 1689W, 120,  950, HU,  50, NEQ,   50,   30,   30,   50, 1011,   75,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081006,   , BEST,   0, 119N, 1689W, 120,  950, HU,  64, NEQ,   25,   15,   15,   25, 1011,   75,  10, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  480,  180,  150,  360, 
EP, 05, 2023081012,   , BEST,   0, 121N, 1705W, 105,  961, HU,  34, NEQ,   90,   40,   40,   90, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  150,  240, 
EP, 05, 2023081012,   , BEST,   0, 121N, 1705W, 105,  961, HU,  50, NEQ,   40,   20,   20,   40, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  150,  240, 
EP, 05, 2023081012,   , BEST,   0, 121N, 1705W, 105,  961, HU,  64, NEQ,   20,   10,   10,   20, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  150,  240, 
EP, 05, 2023081018,   , BEST,   0, 125N, 1722W, 105,  961, HU,  34, NEQ,   90,   40,   40,   90, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
EP, 05, 2023081018,   , BEST,   0, 125N, 1722W, 105,  961, HU,  50, NEQ,   40,   20,   20,   40, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
EP, 05, 2023081018,   , BEST,   0, 125N, 1722W, 105,  961, HU,  64, NEQ,   20,   10,   10,   20, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
EP, 05, 2023081100,   , BEST,   0, 129N, 1738W, 105,  961, HU,  34, NEQ,   90,   40,   40,   90, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
EP, 05, 2023081100,   , BEST,   0, 129N, 1738W, 105,  961, HU,  50, NEQ,   40,   20,   20,   40, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
EP, 05, 2023081100,   , BEST,   0, 129N, 1738W, 105,  961, HU,  64, NEQ,   20,   10,   10,   20, 1011,   75,  10, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  300,  150,  120,  240, 
