SH, 99, 2013032312,   , BEST,   0, 080S, 0841E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  93,  28,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032318,   , BEST,   0, 080S, 0843E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  88,  26,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013032400,   , BEST,   0, 080S, 0845E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  90,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041706,   , BEST,   0, 062S, 1000E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 141,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041712,   , BEST,   0, 097S, 1001E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041712,   , BEST,   0, 064S, 1001E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 143,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041718,   , BEST,   0, 097S, 0997E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 185,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041800,   , BEST,   0, 077S, 1023E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 281,  26,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041800,   , BEST,   0, 077S, 1023E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041806,   , BEST,   0, 087S, 1060E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  81,  31,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041812,   , BEST,   0, 087S, 1055E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 108,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041818,   , BEST,   0, 087S, 1050E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 270,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041900,   , BEST,   0, 076S, 0989E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 280,  33,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041906,   , BEST,   0, 093S, 0970E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 266,  40,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041912,   , BEST,   0, 100S, 0966E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 223,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013041918,   , BEST,   0, 102S, 0964E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 213,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013042000,   , BEST,   0, 106S, 0953E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 245,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013042006,   , BEST,   0, 108S, 0949E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 248,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013042012,   , BEST,   0, 110S, 0945E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 243,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
