EP, 14, 2014090806,   , BEST,   0, 272N, 1181W,  35, 1001, LO,  34, NEQ,   30,    0,   40,    0, 1008,  160,  20,  45,   0,   E,   0,    ,   0,   0,    NORBERT, M, 12, NEQ,   60,   60,   60,   60, 
EP, 14, 2014090812,   , BEST,   0, 275N, 1185W,  30, 1002, LO,   0,    ,    0,    0,    0,    0, 1008,  160,  20,   0,   0, 
EP, 14, 2014090818,   , BEST,   0, 279N, 1186W,  30, 1003, LO,   0,    ,    0,    0,    0,    0, 1008,  160,  20,   0,   0, 
EP, 14, 2014090900,   , BEST,   0, 285N, 1185W,  25, 1004, LO,   0,    ,    0,    0,    0,    0, 1008,  160,  20,   0,   0, 
EP, 14, 2014090906,   , BEST,   0, 290N, 1184W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014090912,   , BEST,   0, 288N, 1182W,  20, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014090918,   , BEST,   0, 284N, 1182W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014091000,   , BEST,   0, 281N, 1180W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014091006,   , BEST,   0, 279N, 1176W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014091012,   , BEST,   0, 276N, 1175W,  20, 1009, LO,  34, NEQ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014091018,   , BEST,   0, 272N, 1176W,  20, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
EP, 14, 2014091100,   , BEST,   0, 269N, 1177W,  20, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1010,  160,  40,   0,   0, 
