SH, 07, 2018020518,   , BEST,   0, 245S, 0817E,  45,  996, XX,  34, NEQ,  100,  180,   80,   80, 1010,  200,  60,   0,   0,   S,   0,   X, 170,   8,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020600,   , BEST,   0, 252S, 0819E,  40,  999, XX,  34, NEQ,  145,  190,  100,   70, 1012,  200,  40,   0,   0,   S,   0,   X, 170,   7,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020606,   , BEST,   0, 256S, 0818E,  40,  998, XX,  34, NEQ,  140,  145,  110,   85, 1011,  200,  35,   0,   0,   S,   0,   X, 175,   6,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020612,   , BEST,   0, 262S, 0818E,  40,  997, XX,  34, NEQ,  145,  150,  120,   85, 1011,  200,  35,   0,   0,   S,   0,   X, 175,   6,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020618,   , BEST,   0, 267S, 0820E,  40,  999, XX,  34, NEQ,  145,  145,  120,   80, 1013,  210,  35,   0,   0,   S,   0,   X, 175,   5,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020700,   , BEST,   0, 269S, 0815E,  50,  992, XX,  34, NEQ,  135,  140,  135,  100, 1013,  215,  35,   0,   0,   S,   0,   X, 190,   4,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020706,   , BEST,   0, 269S, 0813E,  45,  993, XX,  34, NEQ,  125,  115,  130,   85, 1013,  210,  35,   0,   0,   S,   0,   X, 215,   3,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020712,   , BEST,   0, 267S, 0805E,  40,  996, XX,  34, NEQ,   80,  100,   95,   95, 1013,  200,  35,   0,   0,   S,   0,   X, 260,   4,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020718,   , BEST,   0, 266S, 0801E,  45,  999, XX,  34, NEQ,   95,  100,   80,   85, 1014,  200,  35,   0,   0,   S,   0,   X, 275,   4,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020800,   , BEST,   0, 263S, 0795E,  40, 1001, XX,  34, NEQ,   65,   90,   90,   70, 1012,  200,  40,   0,   0,   S,   0,   X, 290,   5,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020806,   , BEST,   0, 261S, 0786E,  40, 1002, XX,  34, NEQ,   60,   85,   85,   60, 1012,  200,  40,   0,   0,   S,   0,   X, 290,   6,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
SH, 07, 2018020812,   , BEST,   0, 262S, 0772E,  35, 1004, XX,  34, NEQ,   55,   70,   70,   55, 1010,  185,  40,   0,   0,   S,   0,   X, 280,   9,     CEBILE, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072018, JTWC, NCEP_TCVITALS, 
